Name,Category,Deadline,Goal,Pledged,Status,Backers,percentage,each_backer_pledge
Safer Home,Hardware,2015-07-03,50000.0,0.0,failed,0,0.0,0.0
Gizbee Unlimited Removable Storage for Your Travel Photos,Gadgets,2016-03-25,87000.0,2030.0,canceled,15,2.33,135.33
Diposta - liberating people from their postal mailbox.,Web,2016-08-23,100000.0,141.0,failed,3,0.14,47.0
Best Spray Bottle Ever - SureShot,Gadgets,2015-03-07,25000.0,3.0,failed,3,0.01,1.0
Fishtacular - The Ultimate Fishing Tool (Canceled),Apps,2015-05-25,50000.0,11336.0,canceled,19,22.67,596.63
Xi3: Help us Usher in the Post-PC Era,Technology,2012-10-28,250000.0,90771.0,failed,120,36.31,756.42
Gantish - Online Reward Chart Creator for Parents,Software,2015-09-16,4000.0,282.0,failed,12,7.05,23.5
Sellegg start up classified site,Web,2016-03-20,15000.0,25.0,failed,1,0.17,25.0
Musical Light Suit,Hardware,2011-06-28,6000.0,20.0,failed,2,0.33,10.0
Hangar 1 Foundation,Flight,2014-10-18,8500.0,1355.0,failed,4,15.94,338.75
ODIN: Android 'Smart' Projector to Carry in Your Pocket,Hardware,2014-07-08,250000.0,268192.0,successful,561,107.28,478.06
VoxCube - 8x8x8 RGB LED chainable cubes,Makerspaces,2016-04-01,129000.0,11601.5,failed,32,8.99,362.55
The Forever Rechargeable Talking Super Capacitor Flashlight,Hardware,2013-10-23,2000.0,656.0,failed,18,32.8,36.44
"VLC for the new Windows 8 User Experience (""Metro"")",Software,2012-12-29,40000.0,47056.86,successful,3080,117.64,15.28
APP - CUSTOM SHOES/ Calzado Personalizado - MADAME MARIAN,Apps,2016-12-21,55000.0,1700.0,live,7,3.09,242.86
Student Operated Fabrication Lab,Fabrication Tools,2012-07-11,5000.0,5000.0,successful,57,100.0,87.72
A New Omni-Wheel. A mechanical innovation created for robots,Hardware,2016-06-24,3500.0,107.0,failed,7,3.06,15.29
Inclusive Toolkit: tools for iOS & OS X app accessibility,Software,2015-06-13,5500.0,7157.0,successful,184,130.13,38.9
XPUMP | TURN ANY SOUND SOURCE INTO A HOME THEATER EXPERIENCE,Sound,2016-10-21,25000.0,227673.0,successful,2278,910.69,99.94
TimeChat (Canceled),Apps,2014-10-24,33000.0,1110.0,canceled,5,3.36,222.0
Virtual Addiction Recovery Website & Phone App/ Saving life,Apps,2015-06-28,8500.0,0.0,failed,0,0.0,0.0
College Spring Break Review,Web,2015-03-28,9000.0,0.0,failed,0,0.0,0.0
CLEX - 4 in 1 Smart Device (Canceled),Gadgets,2016-07-18,50000.0,5650.0,canceled,22,11.3,256.82
Stamped,Apps,2016-01-22,500.0,0.0,failed,0,0.0,0.0
Croc2Pop - Where kids manage dad's digital addiction,Apps,2014-08-20,1000.0,0.0,failed,0,0.0,0.0
MKP - The Smart & Versatile Touch Screen Keyboard For All,Gadgets,2015-06-21,1700000.0,970.0,canceled,4,0.06,242.5
LAZER EDGE Series eBike - Starting at $499!,Technology,2016-04-22,10000.0,17771.0,successful,27,177.71,658.19
Smart Dive Buddy: Smartphone Dive Camera & Computer,Hardware,2014-07-26,15000.0,3877.0,failed,34,25.85,114.03
GoalZidia | Let's Reach Our Goals Together,Web,2015-04-23,18000.0,410.0,failed,4,2.28,102.5
FREE SUPERCOMPUTER,Software,2014-11-11,98000.0,1.0,failed,1,0.0,1.0
Esquilo: Simple IoT Development - WiFi + Web IDE + Cloud,DIY Electronics,2015-06-10,10000.0,23447.0,successful,298,234.47,78.68
LDS Home Teaching App (Visiting Teaching Too),Apps,2014-10-17,45000.0,895.0,failed,71,1.99,12.61
Fritz: A Robotic Puppet,Technology,2013-05-01,25000.0,41136.55,successful,236,164.55,174.31
Zen-Tek Aquaponics- runs on air,Technology,2015-09-13,10000.0,1245.0,failed,6,12.45,207.5
Turn your messy Arduino projects into a clean design for 2$,DIY Electronics,2016-02-08,1000.0,3035.0,successful,88,303.5,34.49
Write my Estimate - have your estimate written anywhere!,Apps,2015-11-28,10000.0,0.0,failed,0,0.0,0.0
SparkLab: the educational build-mobile!,Hardware,2012-03-24,25000.0,31275.6,successful,426,125.1,73.42
Phochron XA Film Camera Shutter Speed Tester,Camera Equipment,2016-11-17,8500.0,16998.0,successful,135,199.98,125.91
Seeker Aerial Video Drone,Camera Equipment,2014-11-20,20000.0,5043.0,failed,10,25.21,504.3
Quikceipt! Paperless Solutions,Apps,2014-08-31,150000.0,50.0,failed,1,0.03,50.0
Spycup turns your iPhone into a hidden camera (Canceled),Gadgets,2015-12-19,5000.0,6672.0,canceled,115,133.44,58.02
New Social Network,Web,2014-11-15,5000.0,0.0,failed,0,0.0,0.0
RinseKit: The Revolutionary Portable Shower,Gadgets,2016-06-03,30000.0,396299.0,successful,2412,1321.0,164.3
Knot App,Apps,2016-04-08,4860.0,0.0,failed,0,0.0,0.0
Air.Air! ~ Portable Air Quality Detector,Technology,2013-10-20,20000.0,21613.47,successful,292,108.07,74.02
Pocket Parking Meter,Apps,2015-02-26,4000.0,7.0,failed,3,0.18,2.33
Vyu360 4K ProCam,Camera Equipment,2016-11-15,9000.0,30126.0,successful,164,334.73,183.7
Wireless Touchpad for Console Gaming Controllers (Canceled),DIY Electronics,2014-08-14,100000.0,162.0,canceled,3,0.16,54.0
Desktop CNC Compact Mill & Drill (Canceled),Gadgets,2015-05-10,65000.0,175.0,canceled,3,0.27,58.33
EZ-CARSEAT making child car seats EZ (Canceled),Fabrication Tools,2016-06-30,60000.0,446.0,canceled,21,0.74,21.24
TeslaTronix- Tesla Power For The Masses,Hardware,2013-03-07,2500.0,38946.01,successful,463,1557.84,84.12
Lightbook (Canceled),Hardware,2015-07-27,80000.0,0.0,canceled,0,0.0,0.0
Inhale Sunrises.,Web,2015-04-14,250000.0,0.0,failed,0,0.0,0.0
Zombie USB Keychain (Zed 1.0),Technology,2012-07-26,5000.0,5060.0,successful,172,101.2,29.42
FlowPaw : Learn computer coding by building your own gizmos,Technology,2014-11-20,19500.0,20970.0,successful,145,107.54,144.62
Ion: A Music Detecting Mood Light with Bluetooth Low Energy,Hardware,2014-05-01,20000.0,74026.0,successful,405,370.13,182.78
LittleRP - Affordable Flexible Open 3D Resin Printer,3D Printing,2014-09-10,25000.0,118923.5,successful,290,475.69,410.08
Models & Me © : The App (Canceled),Apps,2016-01-30,1500.0,0.0,canceled,0,0.0,0.0
Dineamics,Apps,2015-04-28,1000.0,35.0,failed,3,3.5,11.67
51st Studios Unplugged: Wood Headphones featuring Bluetooth,Hardware,2014-05-08,60000.0,45687.01,failed,108,76.15,423.03
Chris Custom Built PC's,Gadgets,2015-04-04,7000.0,0.0,failed,0,0.0,0.0
REDS.box - Get your privacy back in the cloud,Hardware,2016-02-18,50000.0,33916.0,failed,209,67.83,162.28
NAMM Marketing -keeping up with the big dogs,Sound,2014-06-26,2800.0,545.0,failed,11,19.46,49.55
The Green Lamp Prototype (Canceled),Hardware,2015-10-04,500.0,0.0,canceled,0,0.0,0.0
Bocusini - World's first plug & play 3D Food Printing System,3D Printing,2015-06-11,30000.0,40581.0,successful,149,135.27,272.36
Aivot,Wearables,2017-01-27,72083.0,200.0,live,3,0.28,66.67
The 1st Motion Tracking DIY Smart Home Security Camera,Gadgets,2016-12-31,25000.0,58978.0,live,397,235.91,148.56
Telemedicine wound care provider locator,Technology,2016-10-09,50000.0,261.0,failed,5,0.52,52.2
"Multi-function kids chair with a ""one for one"" concept.",Gadgets,2016-12-10,125000.0,16.0,live,1,0.01,16.0
wecemat  The ecologic automated flush adapter,Technology,2016-07-23,40000.0,7750.0,failed,26,19.38,298.08
"eyeForce VR Headset, no black parts, 210° field of view",Technology,2016-10-04,50000.0,48907.0,canceled,79,97.81,619.08
Launch Alligator Bites and Open Wide to Possibility!,Software,2010-05-08,7000.0,2002.0,failed,42,28.6,47.67
Solecon Buy.Sell.Trade,Apps,2015-09-05,55000.0,0.0,failed,0,0.0,0.0
The Sleep Sensei - Fall Asleep Faster Without Medication,DIY Electronics,2014-12-16,25000.0,2666.0,failed,57,10.66,46.77
